BnB,HOA,_id,address,city,dollar_per_sqfeet,lat,location,long,price,property_type,redfin_link,sq_feet,state,year_built
4B3.75B,280.0,5c0a464a6ee39237d843c815,63 Chianti,Irvine,623,33.6406919,LGA - Laguna Altura,-117.7572887,1896000,Single-Family,http://www.redfin.com/CA/Irvine/63-Chianti-92618/home/45378765,3041,CA,2012.0
4B3.25B,152.0,5c0a464a6ee39237d843c816,63 Edgewood,Irvine,453,33.662313899999994,OC - Oak Creek,-117.77813119999999,1200000,Single-Family,http://www.redfin.com/CA/Irvine/63-Edgewood-92618/home/5766826,2648,CA,2000.0
5B5.5B,295.0,5c0a464a6ee39237d843c817,63 Kite,Irvine,448,33.683572999999996,699 - Not Defined,-117.70928,1950830,Single-Family,http://www.redfin.com/CA/Irvine/63-Kite-92618/home/145094313,4356,CA,2018.0
4B3.0B,,5c0a464a6ee39237d843c818,"639 Cultivate, Homesite 93",Irvine,460,33.683667,Deco at Cadence Park,-117.720754,1058960,Multi-Family,http://www.redfin.com/CA/Irvine/639-Cultivate-92618/home/148128627,2302,CA,2018.0
5B5.5B,295.0,5c0a464a6ee39237d843c819,65 Buttonquail,Irvine,469,33.681896513000005,GP - Great Park,-117.70403400000001,2398000,Single-Family,http://www.redfin.com/CA/Irvine/65-Buttonquail-92618/home/147761391,5115,CA,2018.0
4B4.0B,280.0,5c0a464a6ee39237d843c81a,65 Domani,Irvine,606,33.6395101,LGA - Laguna Altura,-117.75650990000001,1819000,Single-Family,http://www.redfin.com/CA/Irvine/65-Domani-92618/home/45367179,3000,CA,2013.0
4B4.5B,,5c0a464a6ee39237d843c81b,65 Turnstone,Irvine,476,33.6826,Altair Irvine - Solstice,-117.71600000000001,1584990,Single-Family,http://www.redfin.com/CA/Irvine/65-Turnstone-92618/home/146958704,3327,CA,2018.0
5B5.5B,295.0,5c0a464a6ee39237d843c81c,66 Lunar,Irvine,451,33.676854999999996,699 - Not Defined,-117.70860900000001,2089420,Single-Family,http://www.redfin.com/CA/Irvine/66-Lunar-Unknown/home/146434968,4633,CA,2018.0
5B5.5B,383.0,5c0a464a6ee39237d843c81d,66 Peacevine,Irvine,538,33.7025512,PS - Portola Springs,-117.7156426,2188000,Single-Family,http://www.redfin.com/CA/Irvine/66-Peacevine-92618/home/51682100,4065,CA,2013.0
3B2.0B,160.0,5c0a464a6ee39237d843c81e,69 Orchard,Irvine,483,33.671246200000006,OT - Orangetree,-117.7714321,698000,Single-Family,http://www.redfin.com/CA/Irvine/69-Orchard-92618/home/4746132,1445,CA,1977.0
2B1.5B,300.0,5c0a464a6ee39237d843c81f,716 Trailblaze,Irvine,542,33.687636499999996,PS - Portola Springs,-117.71395030000001,669000,Condo,http://www.redfin.com/CA/Irvine/716-Trailblaze-92679/home/143915136,1234,CA,2016.0
5B5.5B,295.0,5c0a464a6ee39237d843c820,72 Egret,Irvine,469,33.6812369,699 - Not Defined,-117.7025313,2253595,Single-Family,http://www.redfin.com/CA/Irvine/72-Egret-Unknown/home/148350098,4800,CA,2019.0
3B3.0B,450.0,5c0a464a6ee39237d843c821,727 Beacon,Irvine,546,33.680637,GP - Great Park,-117.73748459999999,1198800,Townhouse,http://www.redfin.com/CA/Irvine/727-Beacon-92618/home/147293975,2197,CA,2018.0
4B4.5B,160.0,5c0a464a6ee39237d843c822,73 Cartwheel,Irvine,480,33.6826,GP - Great Park,-117.71600000000001,1750000,Single-Family,http://www.redfin.com/CA/Irvine/73-Cartwheel-92618/home/143725332,3647,CA,2018.0
4B4.5B,297.0,5c0a464a6ee39237d843c823,73 Pelican,Irvine,450,33.6824675,699 - Not Defined,-117.71460390000001,1574990,Single-Family,http://www.redfin.com/CA/Irvine/73-Pelican-Ln-Unknown/home/147923279,3500,CA,2018.0
2B2.0B,457.0,5c0a464a6ee39237d843c824,7301 Apricot Dr #7301,Irvine,439,33.6704164,OT - Orangetree,-117.7762179,445000,Condo,http://www.redfin.com/CA/Irvine/7301-Apricot-Dr-92618/unit-7301/home/5260076,1014,CA,1979.0
5B5.5B,295.0,5c0a464a6ee39237d843c825,74 Lunar St,Irvine,454,33.676854999999996,699 - Not Defined,-117.70860900000001,2103930,Single-Family,http://www.redfin.com/CA/Irvine/74-Lunar-Unknown/home/146434971,4633,CA,2019.0
2B2.5B,315.0,5c0a464a6ee39237d843c826,74 Renewal,Irvine,418,33.701564000000005,PS - Portola Springs,-117.72932,675000,Condo,http://www.redfin.com/CA/Irvine/74-Renewal-92618/home/144012535,1614,CA,2017.0
5B5.5B,295.0,5c0a464a6ee39237d843c827,75 Lunar St,Irvine,476,33.676854999999996,699 - Not Defined,-117.70860900000001,2204425,Single-Family,http://www.redfin.com/CA/Irvine/75-Lunar-Unknown/home/146434969,4627,CA,2018.0
3B3.0B,297.0,5c0a464a6ee39237d843c828,76 Cartwheel,Irvine,532,33.6769969,GP - Great Park,-117.7116213,1548888,Single-Family,http://www.redfin.com/CA/Irvine/76-Cartwheel-92618/home/146201073,2909,CA,2018.0
4B4.5B,295.0,5c0a464a6ee39237d843c829,77 Lunar St,Irvine,475,33.676854999999996,699 - Not Defined,-117.70860900000001,2077525,Single-Family,http://www.redfin.com/CA/Irvine/77-Lunar-Unknown/home/146432580,4377,CA,2018.0
5B5.5B,295.0,5c0a464a6ee39237d843c82a,78 Eider Run,Irvine,462,33.684179799999995,699 - Not Defined,-117.708704,2500000,Single-Family,http://www.redfin.com/CA/Irvine/78-Eider-Run-92618/home/147161619,5416,CA,2018.0
5B5.5B,295.0,5c0a464a6ee39237d843c82b,79 Lunar,Irvine,463,33.676854999999996,699 - Not Defined,-117.70860900000001,2144455,Single-Family,http://www.redfin.com/CA/Irvine/79-Lunar-92618/home/147421599,4633,CA,2019.0
3B2.5B,280.0,5c0a464a6ee39237d843c82c,83 Lupari,Irvine,585,33.6464078,LGA - Laguna Altura,-117.75810940000001,1099000,Condo,http://www.redfin.com/CA/Irvine/83-Lupari-92603/home/58556009,1878,CA,2013.0
4B4.5B,297.0,5c0a464a6ee39237d843c82d,83 Turnstone,Irvine,451,33.67820510000001,699 - Not Defined,-117.7133372,1499990,Single-Family,http://www.redfin.com/CA/Irvine/83-Turnstone-92618/home/146953625,3327,CA,2018.0
4B4.5B,297.0,5c0a464a6ee39237d843c82e,83 crater,Irvine,425,33.6762033,GP - Great Park,-117.7104832,1729000,Single-Family,http://www.redfin.com/CA/Irvine/83-Crater-92618/home/146229352,4066,CA,2018.0
4B4.5B,297.0,5c0a464a6ee39237d843c82f,89 Pelican,Irvine,429,33.665242,699 - Not Defined,-117.7490656,1499990,Single-Family,http://www.redfin.com/CA/Irvine/89-Pelican-92618/home/146953591,3500,CA,2018.0
